,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
195191363185,Women's Free People Rubi Ripped Pocket T-Shirt Small Pink,New,3,$58.00,$174.00,$43.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191363208,Women's Free People Rubi Ripped Pocket T-Shirt Large Pink,New,2,$58.00,$116.00,$29.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191363222,"Free People Women's Rubi Tee, Bleached Military, Green, X-Small",New,2,$58.00,$116.00,$29.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191363246,"Free People Women's Rubi Tee, Bleached Military, Green, Medium",New,3,$58.00,$174.00,$43.50,FREE PEOPLE/URBAN OUTFITTERS,,
608926082249,"Warner's Women's No Pinching No Problems Lace Hipster Panty, Vanilla, XX-Large (9)",New,1,$10.00,$10.00,$2.50,WARNERS DIV/WARNACO GROUP,,
707762001077,R&M Richards Womens Navy Embellished 3/4 Sleeve Jewel Neck Knee Length Shift Evening Dress Size 18W,New,1,$99.00,$99.00,$24.75,R & M RICHARDS,,
707762319707,Morgan & Co. Womens Juniors Sherri Shimmer Lace Up Cocktail Dress Pink 15,New,1,$79.00,$79.00,$19.75,MORGAN & CO/R & M RICHARDS INC,,
708008643877,City Studio Womens Light Blue Sleeveless Halter Mini Sheath Party Dress Size 11,New,1,$12.66,$12.66,$3.17,City Studios,,
708008671399,City Studio Womens Black Lace Sleeveless V Neck Mini Fit + Flare Party Dress Size 1,New,1,$59.00,$59.00,$14.75,City Studios,,
719544048323,"Wacoal Women's Body by T-Back Bra, Black, 38DD",New,1,$48.00,$48.00,$12.00,WACOAL INC,,
719544568579,"Wacoal womens How Perfect Full Figure Wire Free Bra, Sand, 38D US",New,1,$58.00,$58.00,$14.50,WACOAL INC,,
732997667552,"Alfani Women's Mix-and-Match Thong Underwear (XXL, Heather Grey)",New,1,$5.60,$5.60,$1.40,ALFANI-MMG,,
732999504459,Alfani Women's Knit Top Medium Pleated Side Tie Solid Black M,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
732999555284,Alfani Womens Blouse Combo Ruched-Waist Split-Neck Top Yellow XL,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
733001861577,INC Womens Black Rhinestone Long Sleeve Midi Sheath Wear to Work Dress Size S,New,1,$99.50,$99.50,$24.88,INC-MMG,,
733001916789,INC Womens Gray Sweatshirt Size M,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733002389322,Alfani Womens Light Blue Tie Printed 3/4 Sleeve Boat Neck Top Size M,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
735106389208,"Natori Women's Cotton Sateen Pajama Set, Bluebell, X-Large",New,1,$140.00,$140.00,$35.00,NATORI COMPANY,,
